Email,Intent,SecondaryIntent
Please review the attached report and provide feedback.,Request,Report Review
Join us for the weekly project update meeting tomorrow at 10 AM.,Informational,Project Related Communication
I am writing to inform you of the changes in the project timeline.,Informational,Project Related Communication
Could you please send me the latest version of the project plan?,Request,Project Related Communication
We are pleased to confirm your order has been shipped.,Transaction,Order Related
Thank you for your service; I would like to raise a complaint about...,Feedback,Raise Complaint
This month’s newsletter includes updates on our latest product launches.,Informational,Product Related Communication
We would appreciate your feedback on our services.,Feedback,Request Feedback
Can we arrange a call to discuss your requirements?,Request,Official
Your subscription renewal is confirmed. Thank you for staying with us!,Transaction,Subsciption Related
I've noticed a mistake in the invoice. Could you please check it?,Request,Order Related
Looking forward to seeing you at the annual gala next month.,Informational,Official
Please find the attached invoice for your recent purchase.,Transaction,Order Related
We’ve updated our privacy policy. Here’s what you need to know.,Informational,Product Related Communication
I would like to schedule a meeting to discuss our next steps.,Request,Project Related Communication
Here is the confirmation of your hotel booking for your upcoming trip.,Transaction,Order Related
We've received your application and will be in touch after our review.,Informational,Official
Your feedback has been invaluable to our team's progress.,Feedback,Request Feedback
Reminder: Your payment is due by the end of the week.,Transaction,Product Related Communication
Could you please provide the meeting minutes from last week?,Request,Project Related Communication
